rms,hiz_rms,a1x,a1x_rms,a2x_a1x,a3x_a1x,altharmonik,thd,kurtosis,crest,rulman_bant,dosya,etiket,yuk,gercek_hz,tahmin_hz,guven,blok
0.07085909756693454,1.6772348196537637e-05,0.00021548578642620545,0.003041046158111361,1.4115904966624606,2.197816879607459,2.3078385134278325,14.498410413058656,2.8871296259009407,3.5006866843479303,0.051773892677563126,97.mat,saglam,0,29.933333333333334,29.89946615835786,2.1553616545199397,0
0.07080171401359046,1.8700200716431144e-05,0.0004889369082593772,0.006905721352432507,1.5810709970863026,1.2332172278801279,0.6204172832069779,8.736632289120017,2.701241256659511,3.8892817311117316,0.0561300189896696,97.mat,saglam,0,29.933333333333334,29.89946615835786,2.1553616545199397,1
0.07035202680178412,1.9136231503899165e-05,0.00032509484246093603,0.004620973371133505,1.439249761016593,1.4995703432639933,1.050084360043019,21.842423258660478,2.768321220440264,3.574222979565868,0.05543116795953381,97.mat,saglam,0,29.933333333333334,29.89946615835786,2.1553616545199397,2
0.06918323685822662,1.8500468217030688e-05,0.0003178037494455358,0.004593652507069014,2.373291323387635,1.3833854567957673,1.423732166219164,17.093187526793656,2.8066275757989656,3.8964884922964664,0.04872838900125218,97.mat,saglam,0,29.933333333333334,29.89946615835786,2.1553616545199397,3
0.0692927465962663,1.999625881606938e-05,0.0005424795932927385,0.007828807774725156,0.4204977292578065,0.8384899029830808,1.0686553987460756,15.610005277105957,2.853868616230206,3.5399052670539897,0.04891905844823268,97.mat,saglam,0,29.933333333333334,29.89946615835786,2.1553616545199397,4
0.0706226393638362,2.090488435284255e-05,0.0003814145541282403,0.005400740577789151,0.8070696334366068,1.2964281901481298,1.3685763078876376,25.667069897314438,2.7456438748436534,3.3881944981831493,0.05322909025948847,97.mat,saglam,0,29.933333333333334,29.89946615835786,2.1553616545199397,5
0.0680152697592355,1.808304699874835e-05,0.0004751095714846737,0.006985336868610673,1.0935164456090436,0.9156206178564352,0.5561448012059599,12.218438472060686,2.7012933838024904,3.54651393472336,0.04829740424735884,97.mat,saglam,0,29.933333333333334,29.89946615835786,2.1553616545199397,6
0.0704774594535235,1.809459128638767e-05,0.0005406964417291083,0.007671905967013463,0.21785316387797674,1.1476652476707914,0.7781024498440654,13.067316755658418,2.77243728571566,3.2823106414677534,0.05085430242619752,97.mat,saglam,0,29.933333333333334,29.89946615835786,2.1553616545199397,7
0.07219946401588001,1.958818115834488e-05,0.0004962716446538015,0.006873619512435366,1.2470013378181668,0.9296502601378772,0.7632448707433259,14.982506927521515,2.6396870017692704,3.506040796195499,0.05857391117823288,97.mat,saglam,0,29.933333333333334,29.89946615835786,2.1553616545199397,8
0.07214938633703814,1.8491630190166845e-05,0.00036508113179454615,0.005060072584457595,0.3713090784738646,1.5299728423463306,1.2237524184076116,9.388522911655906,2.8351597137361932,3.2224280534428287,0.060518462540689856,97.mat,saglam,0,29.933333333333334,29.89946615835786,2.1553616545199397,9
